state,sa_active,sa_active_num,sa_rep,sa_rep_title,sa_rep_region,sa_rep_img,mem_rep,mem_rep_title,mem_rep_region,mem_rep_img,resi_mw,nonresi_mw,utility_mw,state_goals
Alabama,Yes,0,Maggie Clark,State Affairs Senior Manager,Southeast,https://www.seia.org/sites/default/files/2017-09/Clark-Maggie-Sep2017.jpg,Rahiem Swann,Regional Development Manager,Southeast,https://www.seia.org/sites/default/files/2019-08/rahiem%20headshot%20sample.jpg,1.3,19.2,262.4,"<p class=""goal"">While not an active state for the State Affairs team, we're always monitoring for significant activity and work with partners where available should the need arise.</p>"
Alaska,No,0,Sara Birmingham,Senior Director of State Affairs,,https://www.seia.org/sites/default/files/2017-09/Birmingham-Sara-Sep17_0.jpg,Brett Mather,Regional Development Manager,Intermountain West,https://aaronholm.github.io/seia-state_maps/Bret%20Mather%20Headshot.jpg,2.4,1.2, -   ,"<p class=""goal"">While not an active state for the State Affairs team, we're always monitoring for significant activity and work with partners where available should the need arise.</p>"
Arkansas,No,0,Maggie Clark,State Affairs Senior Manager,Southeast,https://www.seia.org/sites/default/files/2017-09/Clark-Maggie-Sep2017.jpg,Rahiem Swann,Regional Development Manager,Southeast,https://www.seia.org/sites/default/files/2019-08/rahiem%20headshot%20sample.jpg,10.5,6.4,143.8,"<p class=""goal"">While not an active state for the State Affairs team, we're always monitoring for significant activity and work with partners where available should the need arise.</p>"
Arizona,Yes,1,Sara Birmingham,Senior Director of State Affairs,,https://www.seia.org/sites/default/files/2017-09/Birmingham-Sara-Sep17_0.jpg,Brett Mather,Regional Development Manager,Intermountain West,https://aaronholm.github.io/seia-state_maps/Bret%20Mather%20Headshot.jpg,"1,118.50",456.9,"2,337.60","<p class=""goal"">Continued support for AriSEIA via Board seat</p><p class=""progress"">SEIA rep is on the AriSEIA Board of Directors for 2019</p><p class=""goal"">Potential Participation in the APS GRC (through cofunding) if filed</p><p class=""progress"">SEIA is planning intervention into the APS GRC by creating a steering group with AriSEIA, SEIA and additional contributing members. It is expected to be operational in Dec 2019.</p><p class=""goal"">Potential Participation in the Energy Modernization Plan, if introduced</p><p class=""progress"">SEIA signed onto a filing made to the ACC in July with other energy advocates requesting an increased clean energy standard.</p>"
California,Yes,1,Rick Umoff,Regulatory Counsel and Director of State Affairs,California,https://www.seia.org/sites/default/files/2017-11/Umoff-Rick-Sep17.jpg,Jessica Super,Regional Development Manager,California,https://aaronholm.github.io/seia-state_maps/Jessica.jpg,"6,367.90","4,494.90","15,369.40","<p class=""goal"">Limit impact of and optimize opportunities arising from PG&E bankruptcy (expected)</p><p class=""progress"">PG&E re-organization plan, and competing bondholder plan, both honor existing contracts.  SEIA is party to PUC review of PG&E BK and will continue advocating for contract protection. </p><p class=""goal"">Successfully implementat SB100 and spur procurement through the IRP process. </p><p class=""progress"">SEIA has filed comments at the CEC and PUC regarding the implementation of SB100, and won a decision for the near term procurement of 3 GW of new resources including solar+storage.  SEIA is advocating for the procurement of at least 10 GW of solar between 2020-2030 in the IRP process. </p><p class=""goal"">Lobby for legislation to accelerate procurement of utility-scale renewables. </p><p class=""progress"">This work moved to IRP process, where SEIA won a procurement decision.  SEIA is preparing to engage further on this issue in 2020. <br>SEIA held a summit with the CCAs and finance community to discuss ways to ease procurement and financing challenges.  </p><p class=""goal"">Secure full capacity value for solar in resource adequacy.</p><p class=""progress"">The PUC approved a favorable interim methodology for solar+storage capacity value that will allow S+S to compete in near term procurement.  Longer term solutions expected to be addressed by PUC in 2020. </p><p class=""goal"">Net Metering: Protect net metering and ensure reasonable reforms in NEM 3.</p><p class=""progress"">SEIA is leading a coalition in preparation for the NEM 3 review, epxected in 2020.  SEIA defeated two proposed charges on solar customers that would have reduced the value of NEM for solar customers. SEIA is advocating for fair updates to the avoided cost calculator to ensure that solar is fully valued in NEM 3.  </p><p class=""goal"">Obtain pro solar outcome in PG&E rate case</p><p class=""progress"">SEIA defeated a non-bypassable charge that would have harmed solar customers, and won approval of grid invetsmentments that will enable more DERs. </p><p class=""goal"">SDG&E GRC Phase 2: Favorable grandfathering for solar customers; Establishment of good rates for C&I and solar+storage customers. </p><p class=""progress"">SEIA has advocated against high fixed charges and for new favorable rates for solar customers of all sizes.  This case is ongoing. </p><p class=""goal"">Resi TOU Cases: Establish default residential TOU rates that support solar customers; Defend against high fixed charge/minimum bills in default TOU rates for residential customers.</p><p class=""progress"">SEIA continues to advocate for favorable rates across all investor owned utility service territories.  Rate cases will continue in 2020.  </p><p class=""goal"">Create a solar bill of rights.</p><p class=""progress"">Led by CALSSA, the bill would have added additional protections for solar customers.  Although the bill did not succeed, SEIA supported the legislation and continues to work with policymakers to ensure customers have access to solar. </p><p class=""goal"">Establish a pilot tariff in NEM 3 that can be used for shared solar programs.</p><p class=""progress"">SEIA is working with CCSA and other partners to develop the community solar market in CA.  SEIA is pusuring various avenues to grow the market, including Title 24 and NEM 3.  </p><p class=""goal"">Shape SCE Green Tariff program to reduce market power issues and establish compensation mechanisms that reflect the full value of solar.</p><p class=""progress"">SCE's Green Tariff program was defeated by SEIA and its partners.   It was opposed as anti-competitive. </p><p class=""goal"">Establish a D&I working group to better track and advance industry D&I initiatives in CA.</p><p class=""progress"">SEIA and its partners established a working group to engage on D&I issues with policymakers in CA, resulting in favorable legislation regarding supplier diversity.  Additionally, SEIA engages in a solar equity working group led by partners Vote Solar and Grid Alternatives. </p><p class=""goal"">Smooth implementation of CA BEES for solar on new homes; Development of BEES for commercial buildings that include solar and storage. </p><p class=""progress"">SEIA successfully defeated efforts by POUs to undermine the code through the use of loopholes, including requests for exemptions from the code and the offsite compliance option. </p><p class=""goal"">Prevent problematic siting and permitting requirements for utility scale solar (e.g. defending against negative legislation).</p><p class=""progress"">Nothing new in Q4 </p><p class=""goal"">Develop a reasonable consumer information packet at the PUC. </p><p class=""progress"">SEIA and CALSSA won several key changes to the information packet including the removal of problematic language that mischaracterized the industry and the streamlining of certain requirements.  SEIA is now fighting a duplicative registration system that has been proposed by the PUC. </p><p class=""goal"">Resolve the wet signature requirement for solar contracts at the PUC.</p><p class=""progress"">SEIA won suspension of the ""wet signature"" requirement for the consumer information packet, which allows solar customers to continue to sign the packet electronically.  </p><p class=""goal"">Resolve outstanding consumer complaints in Central Valley or otherwise.</p><p class=""progress"">SEIA and CALSSA resolved the majority of the consumer protection complaints in the Central Valley, and establish a process for addressing complaints in coordination wiith policymakres and local community representatives. </p><p class=""goal"">Modernize grid planning to enable more solar</p><p class=""progress"">SEIA won important grid investments in PG&E service territory to enable more DERs.  </p><p class=""goal"">Development of a Clean Energy Caucus in coordination with partner trade associations.</p><p class=""progress"">SEIA held a successful fundraiser with Governor Newsom and leading members in collabortaion with AWEA. </p>"
Colorado,Yes,1,Sara Birmingham,Senior Director of State Affairs,,https://www.seia.org/sites/default/files/2017-09/Birmingham-Sara-Sep17_0.jpg,Brett Mather,Regional Development Manager,Intermountain West,https://aaronholm.github.io/seia-state_maps/Bret%20Mather%20Headshot.jpg,374.2,311.6,615.5,"<p class=""goal"">Advocate for regulatory revisions of Distribution System Planning, Interconnection rules, Qualifying Facilities, Renewable Energy Standard and Energy Resource
Procurement.</p><p class=""progress"">SEIA and COSEIA filed joint comments and participated in the ""Mother of all Rulemakings"" (""MOAR""). Waiting for a ruling by the PUC for further direction. SEIA providing an expert witness for the RES Plan docket to advocate for policy such as increased capacity within the Community*SolarGardens program and solar+storage and C&I incentives. Additionally, SEIA is intervening within the RTO docket.</p><p class=""goal"">Lobby for clean energy legislation, such as an RPS increase and support passage of Community Solar Gardens revisions legislation</p><p class=""progress"">SEIA & COSSA continuing to leverage resources to share a lobbyist and regulatory attorney​. SEIA supported the successful Community Solar Bill, HB 19-1003, to increase the project size and ease location requirements. SEIA also supported the successful legislation regarding carbon reduction bills.  </p>"
Connecticut,Yes,0,Dave Gahl,Senior Director of State Affairs,Northeast,https://www.seia.org/sites/default/files/2017-09/Gahl-Dave-Sep2017.jpg,Khephren Menna,Regional Development Manager,Northeast,https://www.seia.org/sites/default/files/2017-11/Menna-Khephren-Sep17.jpg,323.8,274.5,42.7,"<p class=""goal"">While not an active state for the State Affairs team, we're always monitoring for significant activity and work with partners where available should the need arise.</p>"
Delaware,Yes,0,Dave Gahl,Senior Director of State Affairs,Northeast,https://www.seia.org/sites/default/files/2017-09/Gahl-Dave-Sep2017.jpg,Khephren Menna,Regional Development Manager,Northeast,https://www.seia.org/sites/default/files/2017-11/Menna-Khephren-Sep17.jpg,54,43.7,34.2,"<p class=""goal"">While not an active state for the State Affairs team, we're always monitoring for significant activity and work with partners where available should the need arise.</p>"
Florida,Yes,1,Maggie Clark,State Affairs Senior Manager,Southeast,https://www.seia.org/sites/default/files/2017-09/Clark-Maggie-Sep2017.jpg,Rahiem Swann,Regional Development Manager,Southeast,https://www.seia.org/sites/default/files/2019-08/rahiem%20headshot%20sample.jpg,361.6,122.9,"2,929.50","<p class=""goal"">Advance competition in Florida solar market through regulatory proceeding. </p><p class=""progress"">No update.</p>"
Georgia,Yes,1,Maggie Clark,State Affairs Senior Manager,Southeast,https://www.seia.org/sites/default/files/2017-09/Clark-Maggie-Sep2017.jpg,Rahiem Swann,Regional Development Manager,Southeast,https://www.seia.org/sites/default/files/2019-08/rahiem%20headshot%20sample.jpg,6,48.5,"1,707.40","<p class=""goal"">While not an active state for the State Affairs team, we're always monitoring for significant activity and work with partners where available should the need arise.</p>"
